metric,Adaptive (reported),3-D fill only,Slice-wise fill only,Previous seed rule
"Colon within 30 mm of the path (whole colon, gas and fluid)","0.860 [0.575, 0.961]","0.774 [0.545, 0.961]","0.732 [0.558, 0.950]","0.426 [0.387, 0.497]"
Colon beyond 60 mm of the path (never visited),"0.005 [0.000, 0.212]","0.106 [0.000, 0.300]","0.167 [0.000, 0.309]","0.427 [0.352, 0.512]"
"Dice, lumen vs gas-filled reference","0.882 [0.810, 0.962]","0.878 [0.743, 0.962]","0.801 [0.741, 0.937]","0.882 [0.810, 0.962]"
Jaccard,"0.789 [0.681, 0.927]","0.783 [0.591, 0.927]","0.668 [0.588, 0.881]","0.789 [0.681, 0.927]"
Recall,"0.995 [0.994, 0.996]","0.994 [0.993, 0.995]","0.995 [0.994, 0.996]","0.995 [0.994, 0.996]"
Precision,"0.793 [0.682, 0.933]","0.786 [0.593, 0.933]","0.670 [0.590, 0.885]","0.793 [0.682, 0.933]"
"Mean symmetric surface distance, mm","3.31 [0.64, 6.16]","3.64 [0.64, 7.01]","7.11 [1.67, 10.57]","3.31 [0.64, 6.16]"
"95th-percentile Hausdorff distance, mm","24.1 [2.3, 33.4]","24.1 [2.3, 39.8]","43.4 [13.1, 80.1]","24.1 [2.3, 33.4]"
Centerline points inside reference colon,"0.980 [0.887, 0.988]","0.978 [0.757, 0.987]","0.962 [0.735, 0.987]","0.964 [0.907, 0.981]"
Centerline length / whole-colon reference length,"0.969 [0.725, 0.995]","0.929 [0.493, 0.995]","0.884 [0.737, 0.992]","0.599 [0.557, 0.644]"
Whole-colon reference centerline within 10 mm,"0.887 [0.648, 0.977]","0.777 [0.387, 0.969]","0.752 [0.538, 0.969]","0.532 [0.502, 0.592]"
Segmentation failures (Dice < 0.5),0 / 26,5 / 26,0 / 26,0 / 26
