PatientID,role,SeriesInstanceUID,config,iso_spacing_mm,ok,error,seed_sec,centerline_sec,total_sec,air_cc_count,largest_air_cc_voxels,skeleton_voxels,seed_source,seed_distance_mm,seeds_cross_components,n_points,length_mm,n_ccs_total,n_ccs_visited,n_bridges,bridge_length_mm_total,used_kimimaro,max_bridge_wall_frac,bridge_fallback,straight_line_mm,tortuosity
1.3.6.1.4.1.9328.50.4.0001,primary,1.3.6.1.4.1.9328.50.4.563,corrected,1.0,True,,26.56,41.08,67.64,259,2833267,43365,skeleton_endpoints,518.5257949224898,True,761,1045.2,11,1,0,0,False,0.0,No bridge chain from CC 2 to CC 170 within max_bridge_mm=150.0.,457.04,2.287
1.3.6.1.4.1.9328.50.4.0001,secondary,1.3.6.1.4.1.9328.50.4.2,corrected,1.0,True,,25.26,35.79,61.05,164,2095509,43135,skeleton_endpoints,495.14240375875704,True,816,1139.65,11,1,0,0,False,0.0,No bridge chain from CC 1 to CC 111 within max_bridge_mm=150.0.,376.39,3.028
1.3.6.1.4.1.9328.50.4.0002,primary,1.3.6.1.4.1.9328.50.4.1241,corrected,1.0,True,,36.43,38.13,74.57,223,2228681,130301,skeleton_endpoints,528.9035828957864,True,1157,1628.37,19,5,4,275.62,True,0.391304347826087,,528.9,3.079
1.3.6.1.4.1.9328.50.4.0002,secondary,1.3.6.1.4.1.9328.50.4.1840,corrected,1.0,True,,27.73,37.23,64.96,245,2919160,98407,skeleton_endpoints,531.0913292457334,True,1174,1604.26,18,3,2,237.76,True,0.4434782608695652,,531.09,3.021
1.3.6.1.4.1.9328.50.4.0003,primary,1.3.6.1.4.1.9328.50.4.2320,corrected,1.0,True,,28.82,42.32,71.14,277,2023774,119505,skeleton_endpoints,539.4942075685336,True,768,1000.39,15,1,0,0,False,0.0,No bridge chain from CC 2 to CC 154 within max_bridge_mm=150.0.,490.24,2.041
1.3.6.1.4.1.9328.50.4.0003,secondary,1.3.6.1.4.1.9328.50.4.3114,corrected,1.0,True,,32.03,42.6,74.64,315,2268602,96534,skeleton_endpoints,529.7640984438262,True,764,1014.95,12,1,0,0,False,0.0,No bridge chain from CC 6 to CC 137 within max_bridge_mm=150.0.,457.18,2.22
1.3.6.1.4.1.9328.50.4.0004,primary,1.3.6.1.4.1.9328.50.4.3828,corrected,1.0,True,,23.17,30.59,53.76,208,2203894,55198,skeleton_endpoints,400.15122141510454,True,828,1155.01,17,2,1,143.12,True,0.24305555555555555,,400.15,2.886
1.3.6.1.4.1.9328.50.4.0004,secondary,1.3.6.1.4.1.9328.50.4.4371,corrected,1.0,True,,23.1,29.75,52.86,181,2310549,48385,skeleton_endpoints,393.02162790360535,True,686,944.68,17,2,1,116.97,True,0.3162393162393162,,393.02,2.404
1.3.6.1.4.1.9328.50.4.0005,primary,1.3.6.1.4.1.9328.50.4.4716,corrected,1.0,True,,12.67,19.24,31.91,297,1472033,14042,skeleton_endpoints,401.0511189362274,True,984,1373.23,11,1,0,0,False,0.0,No bridge chain from CC 4 to CC 191 within max_bridge_mm=150.0.,396.79,3.461
1.3.6.1.4.1.9328.50.4.0005,secondary,1.3.6.1.4.1.9328.50.4.5094,corrected,1.0,True,,12.53,19.49,32.02,252,1329549,35328,skeleton_endpoints,420.55677381300137,True,953,1331.09,8,1,0,0,False,0.0,No bridge chain from CC 2 to CC 231 within max_bridge_mm=150.0.,411.0,3.239
1.3.6.1.4.1.9328.50.4.0006,primary,1.3.6.1.4.1.9328.50.4.5691,corrected,1.0,True,,27.62,41.37,68.99,191,1572535,123206,skeleton_endpoints,490.42940368619827,True,265,331.07,10,1,0,0,False,0.0,No bridge chain from CC 7 to CC 149 within max_bridge_mm=150.0.,206.3,1.605
1.3.6.1.4.1.9328.50.4.0006,secondary,1.3.6.1.4.1.9328.50.4.5980,corrected,1.0,True,,21.73,34.75,56.48,187,2337288,24879,skeleton_endpoints,501.26839118380485,True,991,1342.55,9,1,0,0,False,0.0,No bridge chain from CC 2 to CC 161 within max_bridge_mm=150.0.,435.36,3.084
1.3.6.1.4.1.9328.50.4.0007,primary,1.3.6.1.4.1.9328.50.4.6651,corrected,1.0,True,,25.44,31.37,56.81,103,2250469,66473,skeleton_endpoints,455.39104075508556,True,1433,1943.06,7,2,1,97.95,True,0.3163265306122449,,455.39,4.267
1.3.6.1.4.1.9328.50.4.0007,secondary,1.3.6.1.4.1.9328.50.4.7198,corrected,1.0,True,,20.69,27.57,48.25,132,2372949,29042,skeleton_endpoints,435.8772763060722,True,921,1280.13,6,2,1,37.01,True,0.42105263157894735,,435.88,2.937
1.3.6.1.4.1.9328.50.4.0008,primary,1.3.6.1.4.1.9328.50.4.7701,corrected,1.0,True,,34.59,45.87,80.45,380,1813096,102340,skeleton_endpoints,570.5514875977452,True,672,935.82,18,1,0,0,False,0.0,No bridge chain from CC 2 to CC 107 within max_bridge_mm=150.0.,375.82,2.49
